Sector,Year,Name,Karnataka,Madhya Pradesh,Mizoram,Tamil Nadu,Andaman and Nicobar
Rural,2011,January,104,104,104,105,105
Urban,2011,January,104,103,104,104,105
Rural+Urban,2011,January,104,104,104,104,106
Rural,2011,February,106,105,106,107,105
Urban,2011,February,108,106,109,108,104
Rural+Urban,2011,February,106,105,106,106,104
Rural,2011,March,104.8,104.1,105.8,103.9,106.8
Urban,2011,March,105.4,104.8,107.3,104.6,107.9
Rural+Urban,2011,March,108,106,108,109,105
Rural,2011,April,106,106,107,105,104
Urban,2011,April,107,106.1,108.3,105.5,105.1
Rural+Urban,2011,April,108,107,110,108,103
Rural,2011,May,109.3,107.5,111.1,107.5,103.4
Urban,2011,May,107.52,107,109.39,106.47,106.11
Rural+Urban,2011,May,111,109.5,112.9,110.5,107
Rural,2011,June,109.8,108.6,111.8,108.9,104.4
Urban,2011,June,110,108.3,111,108.5,108.1
Rural+Urban,2011,June,109,106.6,109.4,106.9,109.3
Rural,2011,July,112.7,111.1,111.2,111.3,107.9
Urban,2011,July,111.6,109.9,111.2,109.4,109.5
Rural+Urban,2011,July,110.5,108.3,111.2,107.9,111.2
Rural,2011,August,111.3,109.4,111.6,109,113.3
Urban,2011,August,112.6,111.3,111.1,110.4,111.2
Rural+Urban,2011,August,113.9,112.6,110.6,112.2,109.1
Rural,2011,September,112.3,110.6,113.1,110.1,115.3
Urban,2011,September,113.8,112.9,111.5,111.5,110.9
Rural+Urban,2011,September,115.4,114.6,109.6,113.3,106.7
Rural,2011,October,113.5,111.2,113.9,111.5,115.9
Urban,2011,October,115,111.8,115.2,114.3,115.4
Rural+Urban,2011,October,114.4,111.9,114.6,113,115.9
Rural,2011,November,114.8,114.1,112,112.8,111.9
Urban,2011,November,116.2,116.2,109.9,114.4,108.1
Rural+Urban,2011,November,115.7,111.9,116,114.8,116.5
Rural,2011,December,116.5,112.4,116.7,115.4,116
Urban,2011,December,115.7,114.6,113.9,114.1,112.7
Rural+Urban,2011,December,115.5,114.3,113.3,115,112.9
Rural,2012,January,117.1,113.3,117,116.2,116.6
Urban,2012,January,117,116.6,113.1,115.5,109.6
Rural+Urban,2012,January,116.4,114.5,113.5,115.8,114.4
Rural,2012,February,116.1,116.1,111,115.9,110.6
Urban,2012,February,117.1,114.8,114.4,116.2,113.6
Rural+Urban,2012,February,117.1,116.4,110.5,117,112.4
Rural,2012,March,118.4,114.3,119.2,118.1,118
Urban,2012,March,119.1,115.2,119.9,119.3,119.8
Rural+Urban,2012,March,117.7,116.6,111.7,117.3,111.3
Rural,2012,April,117.8,115.7,114.7,117.1,114.4
Urban,2012,April,120.6,120.2,128.6,120.9,121.3
Rural+Urban,2012,April,122.1,119.5,121.5,121,118.2
Rural,2012,May,123.4,118.6,117,121,115.3
Urban,2012,May,120.5,116.9,120.8,121.2,121.5
Rural+Urban,2012,May,123.5,118.9,117.6,121.3,115.5
Rural,2012,June,123.4,119.3,117.1,120.9,115.5
Urban,2012,June,120.1,117.8,118.1,119.7,116.1
Rural+Urban,2012,June,118.5,117.4,112.1,118.2,112.2
Rural,2012,July,119.1,117,116.2,118.8,115.3
Urban,2012,July,121.5,119.3,119.3,121.4,117.5
